NUMA_Counters_For_8_Threads,Before_node0,Before_node1,After_node0,After_node1
numa_hit,662767478528,631853504117,662767479030,631853504922
numa_miss,199779502,107874206,199779502,107874206
numa_foreign,107874206,199779502,107874206,199779502
interleave_hit,22879537,22705373,22879591,22705426
local_node,662736053971,631846284225,662736054473,631846284977
other_node,231204059,115094098,231204059,115094151
