10000_MB,LOCAL_ACCESS(MB/s),REMOTE_ACCESS(MB/s),INTERLEAVE_ACCESS(MB/s)
1.Threads,10902.8,7463.0,9527.2
2.Threads,19212.9,14667.9,18101.9
4.Threads,24447.4,21147.4,33693.9
8.Threads,23918.1,21148.6,40812.8
10.Threads,23883.9,19727.0,44089.6
12.Threads,23628.5,20572.8,42568.4
16.Threads,23733.4,20379.1,44335.1
24.Threads,23627.1,20241.3,42684.5
32.Threads,23582.3,20352.1,45120.4
