16_MB,LOCAL_ACCESS(MB/s),REMOTE_ACCESS(MB/s),INTERLEAVE_ACCESS(MB/s)
1.Threads,21788.6,21553.5,21642.4
2.Threads,43106.9,43106.9,43329.6
4.Threads,85423.7,84054.2,84054.2
8.Threads,161319.4,163840.0,161319.4
10.Threads,106454.4,105384.5,192399.3
12.Threads,125203.1,126716.1,227951.3
16.Threads,163840.0,163840.0,163840.0
24.Threads,55849.6,64527.8,221920.8
32.Threads,64428.6,40175.3,4802.8
