1000_MB,LOCAL_ACCESS(MB/s),REMOTE_ACCESS(MB/s),INTERLEAVE_ACCESS(MB/s)
1.Threads,10509.9,7385.3,8957.0
2.Threads,19316.0,14620.3,18160.9
4.Threads,24573.0,21033.9,33509.8
8.Threads,24156.7,20582.9,44396.9
10.Threads,21999.8,18439.1,46437.6
12.Threads,23925.0,20642.2,47544.1
16.Threads,23600.3,21494.4,36498.9
24.Threads,23412.8,20330.3,42090.9
32.Threads,23269.7,20105.7,44096.9
