25000_MB,LOCAL_ACCESS(MB/s),REMOTE_ACCESS(MB/s),INTERLEAVE_ACCESS(MB/s)
1.Threads,11016.1,7565.4,9172.0
2.Threads,19275.5,14797.9,18427.0
4.Threads,24676.7,21447.0,34038.5
8.Threads,24968.5,22330.9,40972.4
10.Threads,24480.2,21059.2,42403.4
12.Threads,23992.8,20504.8,41875.6
16.Threads,21624.6,18662.5,44017.0
24.Threads,22596.8,19563.6,44369.7
32.Threads,22563.4,19569.9,44871.9
