10000_MB,LOCAL_ACCESS(MB/s),REMOTE_ACCESS(MB/s)
1.Threads,10896.0,7459.4
2.Threads,19226.2,14978.2
4.Threads,24406.1,21170.7
8.Threads,23742.2,21642.6
10.Threads,23922.2,20564.0
12.Threads,24250.3,20382.2
16.Threads,23792.4,21607.8
24.Threads,23736.7,20387.8
32.Threads,23602.7,20290.7
