NUMA_Counters_For_16_Threads,Before_node0,Before_node1,After_node0,After_node1
numa_hit,662767517497,631853526203,662767517989,631853526904
numa_miss,199779502,107874206,199779502,107874206
numa_foreign,107874206,199779502,107874206,199779502
interleave_hit,22886228,22712045,22886220,22712032
local_node,662736092780,631846299777,662736093267,631846300494
other_node,231204219,115100632,231204224,115100616
