NUMA_Counters_For_24_Threads,Before_node0,Before_node1,After_node0,After_node1
numa_hit,662768372688,631854059169,662768373186,631854059877
numa_miss,199779502,107874206,199779502,107874206
numa_foreign,107874206,199779502,107874206,199779502
interleave_hit,23141558,22967032,23141567,22967041
local_node,662736941007,631846583443,662736941501,631846584143
other_node,231211183,115349932,231211187,115349940
