NUMA_Counters_For_24_Threads,Before_node0,Before_node1,After_node0,After_node1
numa_hit,662767912843,631853753523,662767913367,631853754267
numa_miss,199779502,107874206,199779502,107874206
numa_foreign,107874206,199779502,107874206,199779502
interleave_hit,22980836,22806456,22980854,22806473
local_node,662736485109,631846435065,662736485629,631846435796
other_node,231207236,115192664,231207240,115192677
