NUMA_Counters_For_8_Threads,Before_node0,Before_node1,After_node0,After_node1
numa_hit,662766978190,631853164372,662766979005,631853165024
numa_miss,199779502,107874206,199779502,107874206
numa_foreign,107874206,199779502,107874206,199779502
interleave_hit,22790918,22616641,22790918,22616641
local_node,662735565574,631846036050,662735566389,631846036702
other_node,231192118,115002528,231192118,115002528
