NUMA_Counters_For_32_Threads,Before_node0,Before_node1,After_node0,After_node1
numa_hit,662767082266,631853232077,662767082592,631853233055
numa_miss,199779502,107874206,199779502,107874206
numa_foreign,107874206,199779502,107874206,199779502
interleave_hit,22806432,22632084,22806432,22632084
local_node,662735669099,631846088807,662735669425,631846089785
other_node,231192669,115017476,231192669,115017476
