NUMA_Counters_For_4_Threads,Before_node0,Before_node1,After_node0,After_node1
numa_hit,662767441612,631853481542,662767441786,631853482741
numa_miss,199779502,107874206,199779502,107874206
numa_foreign,107874206,199779502,107874206,199779502
interleave_hit,22872913,22698779,22872910,22698773
local_node,662736017227,631846268078,662736017380,631846269301
other_node,231203887,115087670,231203908,115087646
