NUMA_Counters_For_2_Threads,Before_node0,Before_node1,After_node0,After_node1
numa_hit,662767148124,631853282914,662767148725,631853283674
numa_miss,199779502,107874206,199779502,107874206
numa_foreign,107874206,199779502,107874206,199779502
interleave_hit,22819507,22645285,22819591,22645367
local_node,662735732140,631846125140,662735732672,631846125839
other_node,231195486,115031980,231195555,115032041
