NUMA_Counters_0_size_8_Threads,Before_node0,Before_node1,After_node0,After_node1
numa_hit,341170619381,317538080707,341170620033,317538081033
numa_miss,76444415,78764266,76444415,78764266
numa_foreign,78764266,76444415,78764266,76444415
interleave_hit,53026905,47812611,53026905,47812611
local_node,341138422714,317517020270,341138423366,317517020596
other_node,108641082,99824703,108641082,99824703
