NUMA_Counters_For_8_Threads,Before_node0,Before_node1,After_node0,After_node1
numa_hit,662766751178,631853011655,662766751830,631853012307
numa_miss,199779502,107874206,199779502,107874206
numa_foreign,107874206,199779502,107874206,199779502
interleave_hit,22754622,22580472,22754622,22580472
local_node,662735339828,631845918395,662735340480,631845919047
other_node,231190852,114967466,231190852,114967466
