NUMA_Counters_2_size_8_Threads,Before_node0,Before_node1,After_node0,After_node1
numa_hit,341170947712,317538532133,341170948690,317538532459
numa_miss,76444415,78764266,76444415,78764266
numa_foreign,78764266,76444415,78764266,76444415
interleave_hit,53105222,47890938,53105222,47890938
local_node,341138669527,317517463907,341138670505,317517464233
other_node,108722600,99832492,108722600,99832492
