NUMA_Counters_For_8_Threads,Before_node0,Before_node1,After_node0,After_node1
numa_hit,662767217129,631853334373,662767217754,631853335349
numa_miss,199779502,107874206,199779502,107874206
numa_foreign,107874206,199779502,107874206,199779502
interleave_hit,22832947,22658820,22832998,22658870
local_node,662735798002,631846162070,662735798582,631846162940
other_node,231198629,115046509,231198674,115046615
