NUMA_Counters_For_8_Threads,Before_node0,Before_node1,After_node0,After_node1
numa_hit,662767813514,631853691699,662767814128,631853692424
numa_miss,199779502,107874206,199779502,107874206
numa_foreign,107874206,199779502,107874206,199779502
interleave_hit,22953754,22779423,22953765,22779434
local_node,662736387045,631846399161,662736387629,631846399882
other_node,231205971,115166744,231206001,115166748
