NUMA_Counters_For_16_Threads,Before_node0,Before_node1,After_node0,After_node1
numa_hit,662767012632,631853185577,662767012795,631853186229
numa_miss,199779502,107874206,199779502,107874206
numa_foreign,107874206,199779502,107874206,199779502
interleave_hit,22796147,22621841,22796147,22621841
local_node,662735599813,631846052239,662735599976,631846052891
other_node,231192321,115007544,231192321,115007544
